"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	0.000000e+00	0.000000e+00	0.000000e+00	9.999461e-01	-1.038521e-02	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	1.038521e-02	9.999461e-01	0.000000e+00
2	3.729504e-01	-3.873379e-03	0.000000e+00	9.999682e-01	-7.969290e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	7.969290e-03	9.999682e-01	0.000000e+00
3	7.459092e-01	-6.845690e-03	0.000000e+00	9.999869e-01	-5.125277e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	5.125277e-03	9.999869e-01	0.000000e+00
4	1.118875e+00	-8.757267e-03	0.000000e+00	9.999962e-01	-2.769182e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	2.769182e-03	9.999962e-01	0.000000e+00
5	1.491844e+00	-9.790090e-03	0.000000e+00	9.999975e-01	-2.233149e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	2.233149e-03	9.999975e-01	0.000000e+00
6	1.864814e+00	-1.062299e-02	0.000000e+00	9.999938e-01	-3.517220e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	3.517220e-03	9.999938e-01	0.000000e+00
7	2.237782e+00	-1.193481e-02	0.000000e+00	9.999790e-01	-6.488297e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	6.488297e-03	9.999790e-01	0.000000e+00
8	2.610745e+00	-1.435475e-02	0.000000e+00	9.999416e-01	-1.080819e-02	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	1.080819e-02	9.999416e-01	0.000000e+00
9	2.983693e+00	-1.838589e-02	0.000000e+00	9.998818e-01	-1.537180e-02	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	1.537180e-02	9.998818e-01	0.000000e+00
10	3.356620e+00	-2.411912e-02	0.000000e+00	9.999951e-01	-3.129201e-03	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	3.129201e-03	9.999951e-01	0.000000e+00
11	3.729589e+00	-2.528622e-02	0.000000e+00	9.993971e-01	3.472062e-02	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-3.472062e-02	9.993971e-01	0.000000e+00
12	4.102334e+00	-1.233645e-02	0.000000e+00	9.965724e-01	8.272506e-02	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-8.272506e-02	9.965724e-01	0.000000e+00
13	4.474026e+00	1.851756e-02	0.000000e+00	9.911381e-01	1.328356e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-1.328356e-01	9.911381e-01	0.000000e+00
14	4.843692e+00	6.806134e-02	0.000000e+00	9.832465e-01	1.822810e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-1.822810e-01	9.832465e-01	0.000000e+00
15	5.210414e+00	1.360468e-01	0.000000e+00	9.730655e-01	2.305287e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-2.305287e-01	9.730655e-01	0.000000e+00
16	5.573339e+00	2.220272e-01	0.000000e+00	9.606031e-01	2.779238e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-2.779238e-01	9.606031e-01	0.000000e+00
17	5.931615e+00	3.256846e-01	0.000000e+00	9.456507e-01	3.251841e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-3.251841e-01	9.456507e-01	0.000000e+00
18	6.284315e+00	4.469687e-01	0.000000e+00	9.277323e-01	3.732464e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-3.732464e-01	9.277323e-01	0.000000e+00
19	6.630332e+00	5.861786e-01	0.000000e+00	9.060044e-01	4.232683e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.232683e-01	9.060044e-01	0.000000e+00
20	6.968245e+00	7.440452e-01	0.000000e+00	8.854862e-01	4.646657e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.646657e-01	8.854862e-01	0.000000e+00
21	7.298505e+00	9.173518e-01	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
22	7.628134e+00	1.091856e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
23	7.957763e+00	1.266360e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
24	8.287392e+00	1.440864e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
25	8.617021e+00	1.615369e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
26	8.946650e+00	1.789873e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
27	9.276279e+00	1.964377e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
28	9.605908e+00	2.138882e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
29	9.935537e+00	2.313386e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
30	1.026517e+01	2.487890e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
31	1.059480e+01	2.662395e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
32	1.092442e+01	2.836899e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
33	1.125405e+01	3.011403e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
34	1.158368e+01	3.185907e+00	0.000000e+00	8.837934e-01	4.678773e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678773e-01	8.837934e-01	0.000000e+00
35	1.191331e+01	3.360412e+00	0.000000e+00	8.837940e-01	4.678763e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.000000e+00	-4.678763e-01	8.837940e-01	0.000000e+00
