"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-0.000004	0.000000	0.000000	0.999135	-0.006090	0.041138	0.041139	0.000000	-0.999153	0.006084	0.999981	0.000251
2	0.999132	-0.005782	0.041167	0.999136	-0.005364	0.041205	0.041204	-0.000192	-0.999151	0.005367	0.999986	0.000030
3	1.998269	-0.010712	0.082411	0.999137	-0.004490	0.041285	0.041283	-0.000668	-0.999147	0.004513	0.999990	-0.000482
4	2.997406	-0.014755	0.123738	0.999137	-0.003598	0.041368	0.041364	-0.001285	-0.999143	0.003648	0.999993	-0.001135
5	3.996543	-0.017929	0.165146	0.999137	-0.002776	0.041446	0.041440	-0.001895	-0.999139	0.002852	0.999994	-0.001778
6	4.995680	-0.020390	0.206622	0.999136	-0.002226	0.041500	0.041495	-0.002352	-0.999136	0.002322	0.999995	-0.002258
7	5.994816	-0.022604	0.248126	0.999136	-0.002404	0.041491	0.041485	-0.002512	-0.999136	0.002506	0.999994	-0.002410
8	6.993952	-0.025701	0.289559	0.999136	-0.004210	0.041337	0.041328	-0.002227	-0.999143	0.004298	0.999989	-0.002051
9	7.993086	-0.031490	0.330758	0.999131	-0.007049	0.041085	0.041076	-0.001365	-0.999155	0.007100	0.999974	-0.001074
10	8.992217	-0.038584	0.371827	0.999135	-0.006062	0.041142	0.041142	-0.000025	-0.999153	0.006058	0.999982	0.000224
11	9.991352	-0.041023	0.413253	0.999117	0.003277	0.041880	0.041875	0.001502	-0.999122	-0.003337	0.999994	0.001364
12	10.990327	-0.027606	0.455945	0.998697	0.026319	0.043727	0.043665	0.002950	-0.999042	-0.026423	0.999649	0.001797
13	11.988432	0.013575	0.500848	0.997368	0.055989	0.046060	0.045905	0.004060	-0.998938	-0.056117	0.998423	0.001479
14	12.984788	0.084136	0.548017	0.995223	0.084875	0.048236	0.048025	0.004527	-0.998836	-0.084995	0.996381	0.000429
15	13.978658	0.182811	0.597236	0.992306	0.113167	0.050217	0.050081	0.004048	-0.998737	-0.113227	0.993568	-0.001651
16	14.968637	0.313872	0.648614	0.987132	0.150999	0.052626	0.052866	0.002429	-0.998599	-0.150915	0.988531	-0.005585
17	15.952019	0.486747	0.702523	0.979283	0.194844	0.055143	0.056335	-0.000576	-0.998412	-0.194503	0.980834	-0.011541
18	16.926747	0.702602	0.758740	0.970005	0.236262	0.057193	0.060091	-0.005074	-0.998180	-0.235542	0.971676	-0.019119
19	17.891713	0.958231	0.816747	0.959814	0.274424	0.058731	0.064109	-0.010661	-0.997886	-0.273218	0.961550	-0.027826
20	18.846126	1.250574	0.876058	0.948929	0.309770	0.059810	0.068380	-0.016869	-0.997517	-0.307991	0.950662	-0.037189
21	19.789392	1.576961	0.936233	0.937491	0.342715	0.060477	0.072816	-0.023240	-0.997075	-0.340307	0.939152	-0.046742
22	20.720635	1.936119	0.996950	0.924700	0.375789	0.060931	0.077481	-0.029071	-0.996570	-0.372729	0.926249	-0.055998
23	21.638208	2.328820	1.058045	0.910098	0.409844	0.061231	0.082066	-0.033421	-0.996066	-0.406185	0.911543	-0.064051
24	22.540059	2.756340	1.119363	0.893146	0.445559	0.061376	0.086071	-0.035382	-0.995661	-0.441454	0.894553	-0.069951
25	23.423606	3.220482	1.180741	0.873426	0.483076	0.061349	0.088805	-0.034143	-0.995464	-0.478790	0.874912	-0.072721
26	24.285870	3.723051	1.241997	0.850494	0.522421	0.061125	0.089482	-0.029192	-0.995561	-0.518317	0.852188	-0.071575
27	25.123416	4.265827	1.302917	0.823897	0.563483	0.060667	0.087358	-0.020500	-0.995966	-0.559966	0.825873	-0.066115
28	25.932222	4.850602	1.363221	0.792857	0.606460	0.059874	0.081571	-0.008248	-0.996633	-0.603924	0.795072	-0.056009
29	26.707488	5.479227	1.422538	0.756769	0.651042	0.058692	0.071166	0.007197	-0.997439	-0.649797	0.759008	-0.040886
30	27.444186	6.152730	1.480506	0.715756	0.696005	0.057193	0.055463	0.024984	-0.998148	-0.696145	0.717602	-0.020720
31	28.137329	6.871087	1.536826	0.669651	0.740604	0.055440	0.034477	0.043568	-0.998455	-0.741875	0.670528	0.003642
32	28.782054	7.633302	1.591515	0.619052	0.783488	0.054051	0.008920	0.061806	-0.998048	-0.785300	0.618326	0.031273
33	29.373980	8.437268	1.645101	0.563905	0.824121	0.053253	-0.020507	0.078437	-0.996708	-0.825585	0.560957	0.061131
34	29.907817	9.280920	1.698300	0.502519	0.862920	0.053330	-0.052839	0.092222	-0.994335	-0.862950	0.496854	0.091940
35	30.376698	10.162259	1.752053	0.433936	0.899298	0.054424	-0.086787	0.101851	-0.991007	-0.896754	0.425310	0.122245
36	30.773382	11.078211	1.807768	0.358102	0.931915	0.057425	-0.120429	0.107092	-0.986929	-0.925883	0.346506	0.150580
37	31.090462	12.024380	1.867575	0.274534	0.959534	0.062650	-0.151987	0.107635	-0.982504	-0.949490	0.260209	0.175386
38	31.319261	12.995189	1.933977	0.181062	0.980924	0.070741	-0.179579	0.103696	-0.978263	-0.966937	0.164423	0.194929
39	31.449086	13.983337	2.009964	0.076696	0.993695	0.081774	-0.201358	0.095763	-0.974825	-0.976510	0.058299	0.207434
40	31.469929	14.978662	2.098325	-0.036571	0.994763	0.095442	-0.215508	0.085409	-0.972760	-0.975817	-0.056143	0.211256
41	31.373394	15.967982	2.201565	-0.158111	0.981096	0.111584	-0.220569	0.075058	-0.972479	-0.962471	-0.178371	0.204532
42	31.150687	16.934517	2.322613	-0.289325	0.948186	0.131276	-0.215782	0.069008	-0.974000	-0.932593	-0.310130	0.184636
43	30.792105	17.856024	2.465048	-0.428534	0.890352	0.153723	-0.201257	0.071799	-0.976903	-0.880826	-0.449575	0.148422
44	30.295889	18.707468	2.628550	-0.562502	0.808653	0.172253	-0.177122	0.085643	-0.980456	-0.807601	-0.582018	0.095056
45	29.670308	19.465352	2.807509	-0.686488	0.703430	0.184176	-0.145634	0.115148	-0.982615	-0.712408	-0.701376	0.023396
46	28.929702	20.109578	2.992889	-0.791023	0.583409	0.184164	-0.108437	0.162558	-0.980722	-0.602099	-0.795745	-0.065324
47	28.095184	20.628821	3.171672	-0.874761	0.453216	0.171428	-0.070300	0.231337	-0.970330	-0.479427	-0.860859	-0.170504
48	27.186475	21.010847	3.333387	-0.939455	0.307668	0.150881	-0.044897	0.325997	-0.944304	-0.339719	-0.893905	-0.292446
49	26.223753	21.238304	3.471191	-0.981712	0.145017	0.123337	-0.046872	0.443802	-0.894898	-0.184513	-0.884313	-0.428889
50	25.232531	21.300529	3.577057	-0.996038	-0.020095	0.086632	-0.082553	0.571193	-0.816654	-0.033073	-0.820569	-0.570589
51	24.241005	21.198810	3.641307	-0.982475	-0.182079	0.039878	-0.156194	0.687477	-0.709210	0.101717	-0.703009	-0.703869
52	23.275711	20.942097	3.652928	-0.944635	-0.327572	-0.019014	-0.256901	0.774399	-0.578195	0.204125	-0.541298	-0.815677
53	22.358356	20.550199	3.599307	-0.887548	-0.451772	-0.090337	-0.373364	0.820184	-0.433471	0.269923	-0.350997	-0.896628
54	21.503241	20.049664	3.470119	-0.822759	-0.542627	-0.169183	-0.485800	0.825855	-0.286289	0.295069	-0.153358	-0.943088
55	20.712665	19.475887	3.259012	-0.759303	-0.599123	-0.253988	-0.581873	0.799846	-0.147205	0.291345	0.036015	-0.955940
56	19.982923	18.860674	2.962284	-0.701907	-0.626291	-0.339244	-0.658536	0.752101	-0.025948	0.271396	0.205192	-0.940341
57	19.306077	18.231643	2.580949	-0.653376	-0.627604	-0.423335	-0.714509	0.696025	0.070901	0.250154	0.348801	-0.903195
58	18.675309	17.610940	2.116087	-0.608614	-0.611010	-0.506217	-0.756752	0.638799	0.138789	0.238569	0.467550	-0.851165
59	18.088463	17.014583	1.569115	-0.565291	-0.579254	-0.587291	-0.789380	0.586518	0.181318	0.239428	0.566093	-0.788805
60	17.545311	16.455555	0.943271	-0.520732	-0.537334	-0.663408	-0.816051	0.541571	0.201896	0.250797	0.646508	-0.720505
61	17.047759	15.942658	0.244289	-0.474056	-0.487016	-0.733543	-0.837703	0.506024	0.205409	0.271153	0.711867	-0.647859
62	16.598055	15.484056	-0.521628	-0.424962	-0.428828	-0.797192	-0.854471	0.480742	0.196893	0.298810	0.764849	-0.570718
63	16.198757	15.087522	-1.347745	-0.373294	-0.363106	-0.853701	-0.866445	0.465328	0.180948	0.331548	0.807232	-0.488316
64	15.851913	14.759023	-2.225792	-0.320331	-0.293483	-0.900697	-0.874003	0.458296	0.161506	0.365386	0.838947	-0.403311
65	15.558375	14.501387	-3.145939	-0.266563	-0.221391	-0.938046	-0.877973	0.457300	0.141563	0.397628	0.861314	-0.316274
66	15.319643	14.316988	-4.098941	-0.210395	-0.147033	-0.966496	-0.879777	0.459571	0.121602	0.426294	0.875886	-0.226048
67	15.138551	14.208026	-5.075937	-0.151215	-0.070507	-0.985983	-0.880430	0.463096	0.101911	0.449419	0.883499	-0.132103
68	15.018488	14.176709	-6.067777	-0.088131	0.008322	-0.996074	-0.880986	0.466011	0.081841	0.464862	0.884740	-0.033738
69	14.963654	14.225392	-7.064620	-0.020903	0.089139	-0.995800	-0.882353	0.466710	0.060299	0.470124	0.879907	0.068896
70	14.977198	14.353920	-8.055773	0.048202	0.167119	-0.984758	-0.884474	0.465225	0.035657	0.464093	0.869274	0.170237
