"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	1	0	0	2.984963e+00	3.828483e-02	3.566135e-01	0	-3.566135e-01	3.828483e-02	-1.756000e-03	9.999980e-01	-1.800000e-04
2	3.984963e+00	3.828483e-02	3.566135e-01	2.983222e+00	1.222505e-01	3.517881e-01	-3.012803e-02	-3.380051e-01	3.729515e-01	-2.523600e-02	9.996770e-01	-2.984000e-03
3	6.968185e+00	1.605353e-01	7.084016e-01	2.977675e+00	2.266183e-01	3.465418e-01	-1.049046e-01	-3.053771e-01	1.101096e+00	-5.677200e-02	9.983650e-01	-6.713000e-03
4	9.945861e+00	3.871536e-01	1.054943e+00	2.966557e+00	3.477203e-01	3.410008e-01	-2.348056e-01	-2.619961e-01	2.309864e+00	-9.391800e-02	9.955180e-01	-1.108400e-02
5	1.291242e+01	7.348739e-01	1.395944e+00	2.948353e+00	4.820900e-01	3.350208e-01	-4.267727e-01	-2.101930e-01	4.058280e+00	-1.366600e-01	9.904870e-01	-1.607800e-02
6	1.586077e+01	1.216964e+00	1.730965e+00	2.921670e+00	6.268111e-01	3.286801e-01	-6.849963e-01	-1.558111e-01	6.386140e+00	-1.825100e-01	9.829710e-01	-2.139600e-02
7	1.878244e+01	1.843775e+00	2.059645e+00	2.885048e+00	7.806419e-01	3.226130e-01	-1.013020e+00	-1.172845e-01	9.342982e+00	-2.323810e-01	9.722460e-01	-2.713600e-02
8	2.166749e+01	2.624417e+00	2.382258e+00	2.838522e+00	9.372929e-01	3.174779e-01	-1.399679e+00	-1.168557e-01	1.285932e+01	-2.830690e-01	9.585330e-01	-3.295000e-02
9	2.450601e+01	3.561710e+00	2.699736e+00	2.775169e+00	1.112446e+00	3.111071e-01	-1.895237e+00	-1.317698e-01	1.737726e+01	-3.378640e-01	9.403770e-01	-3.923300e-02
10	2.728118e+01	4.674156e+00	3.010843e+00	2.696687e+00	1.292806e+00	3.034946e-01	-2.473855e+00	-1.603890e-01	2.266454e+01	-3.971640e-01	9.165920e-01	-4.603900e-02
11	2.997787e+01	5.966962e+00	3.314338e+00	2.595846e+00	1.486629e+00	2.935190e-01	-3.175775e+00	-1.955640e-01	2.907666e+01	-4.584150e-01	8.871510e-01	-5.308800e-02
12	3.257371e+01	7.453591e+00	3.607857e+00	2.469570e+00	1.690064e+00	2.805730e-01	-4.006234e+00	-2.294508e-01	3.664451e+01	-5.244470e-01	8.492760e-01	-6.070300e-02
13	3.504328e+01	9.143655e+00	3.888430e+00	2.310321e+00	1.904058e+00	2.635322e-01	-4.994150e+00	-2.515096e-01	4.559968e+01	-5.932070e-01	8.021180e-01	-6.864800e-02
