Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1.0,0.0,0.0,0.0,0.999982069,0.005988467,0.0,0.0,0.0,-1.0,-0.005988467,0.999982069,0.0
2.0,3.0417351196815616,0.018215657011899967,0.0,0.999658901,0.026116679,0.0,0.0,0.0,-1.0,-0.026116679,0.999658901,0.0
3.0,6.082487230281631,0.09765710120018564,0.0,0.998973952,0.045288442,0.0,0.0,0.0,-1.0,-0.045288442,0.998973952,0.0
4.0,9.121155870094494,0.23541501588441532,0.0,0.99799695,0.063262052,0.0,0.0,0.0,-1.0,-0.063262052,0.99799695,0.0
5.0,12.156852678365784,0.42784487165568036,0.0,0.996808437,0.079830696,0.0,0.0,0.0,-1.0,-0.079830696,0.996808437,0.0
6.0,15.188934277038715,0.6706730574597023,0.0,0.995492383,0.094841533,0.0,0.0,0.0,-1.0,-0.094841533,0.995492383,0.0
7.0,18.217012713218008,0.9591610520684715,0.0,0.994126994,0.108219779,0.0,0.0,0.0,-1.0,-0.108219779,0.994126994,0.0
8.0,21.240937926294265,1.2883428570558941,0.0,0.992778511,0.119961776,0.0,0.0,0.0,-1.0,-0.119961776,0.992778511,0.0
9.0,24.26076133772172,1.6532413471292922,0.0,0.991496937,0.13013003,0.0,0.0,0.0,-1.0,-0.13013003,0.991496937,0.0
10.0,27.276686470604876,2.0490695271006025,0.0,0.990315497,0.138835215,0.0,0.0,0.0,-1.0,-0.138835215,0.990315497,0.0
11.0,30.289017908467958,2.471377048810815,0.0,0.989251629,0.146223165,0.0,0.0,0.0,-1.0,-0.146223165,0.989251629,0.0
12.0,33.29811328973047,2.9161571604544885,0.0,0.98831152,0.152447826,0.0,0.0,0.0,-1.0,-0.152447826,0.98831152,0.0
13.0,36.30434905411383,3.3798713815774915,0.0,0.98749246,0.157666233,0.0,0.0,0.0,-1.0,-0.157666233,0.98749246,0.0
14.0,39.30809341025662,3.859458902207055,0.0,0.986785918,0.162029479,0.0,0.0,0.0,-1.0,-0.162029479,0.986785918,0.0
15.0,42.309688620331606,4.352318493328654,0.0,0.98618147,0.165668672,0.0,0.0,0.0,-1.0,-0.165668672,0.98618147,0.0
16.0,45.309445220645394,4.8562477501793,0.0,0.98566694,0.168702942,0.0,0.0,0.0,-1.0,-0.168702942,0.98566694,0.0
17.0,48.307636728924386,5.369406612064119,0.0,0.985230316,0.171234411,0.0,0.0,0.0,-1.0,-0.171234411,0.985230316,0.0
18.0,51.304500100583255,5.890265673224631,0.0,0.984860425,0.173349196,0.0,0.0,0.0,-1.0,-0.173349196,0.984860425,0.0
19.0,54.300238375081946,6.417557465535522,0.0,0.984549698,0.175105374,0.0,0.0,0.0,-1.0,-0.175105374,0.984549698,0.0
20.0,57.29503147427895,6.950191181931466,0.0,0.984435628,0.175745541,0.0,0.0,0.0,-1.0,-0.175745541,0.984435628,0.0
21.0,60.28947756611132,7.48477215168997,0.0,0.984435985,0.175743537,0.0,0.0,0.0,-1.0,-0.175743537,0.984435985,0.0
22.0,63.28392478340585,8.019347025701991,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
23.0,66.27837251780464,8.55391885184077,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
24.0,69.27282028262132,9.088490677979554,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
25.0,72.2672680170201,9.623062504118332,0.0,0.984435985,0.175743537,0.0,0.0,0.0,-1.0,-0.175743537,0.984435985,0.0
26.0,75.26171523431464,10.157637378130355,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
27.0,78.25616296871343,10.692209204269135,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
28.0,81.2506107335301,11.226781030407915,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
29.0,84.24505846792889,11.761352856546697,0.0,0.984435985,0.175743537,0.0,0.0,0.0,-1.0,-0.175743537,0.984435985,0.0
30.0,87.23950568522343,12.295927730558718,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
31.0,90.2339534196222,12.8304995566975,0.0,0.984436164,0.175742535,0.0,0.0,0.0,-1.0,-0.175742535,0.984436164,0.0
32.0,93.228401154021,13.36507138283628,0.0,0.984465302,0.175579237,0.0,0.0,0.0,-1.0,-0.175579237,0.984465302,0.0
33.0,96.22293755658842,13.899146490806833,0.0,0.985010102,0.172496664,0.0,0.0,0.0,-1.0,-0.172496664,0.985010102,0.0
34.0,99.21913109574584,14.423845063135381,0.0,0.98580394,0.167900539,0.0,0.0,0.0,-1.0,-0.167900539,0.98580394,0.0
35.0,102.2177393292085,14.93456318691182,0.0,0.986682421,0.16265854,0.0,0.0,0.0,-1.0,-0.16265854,0.986682421,0.0
36.0,105.21901971405349,15.429336249279993,0.0,0.987649798,0.156677619,0.0,0.0,0.0,-1.0,-0.156677619,0.987649798,0.0
37.0,108.22324266538169,15.905916611022846,0.0,0.98870787,0.149855755,0.0,0.0,0.0,-1.0,-0.149855755,0.98870787,0.0
38.0,111.23068404309758,16.36174629737485,0.0,0.98985576,0.142075949,0.0,0.0,0.0,-1.0,-0.142075949,0.98985576,0.0
39.0,114.24161706074862,16.793911450263593,0.0,0.991085782,0.133225274,0.0,0.0,0.0,-1.0,-0.133225274,0.991085782,0.0
40.0,117.25629154051971,17.199154711435508,0.0,0.992382871,0.123191872,0.0,0.0,0.0,-1.0,-0.123191872,0.992382871,0.0
41.0,120.2749114952435,17.57387847412901,0.0,0.993722965,0.111868979,0.0,0.0,0.0,-1.0,-0.111868979,0.993722965,0.0
42.0,123.29760775229336,17.91416038099284,0.0,0.995069513,0.099179955,0.0,0.0,0.0,-1.0,-0.099179955,0.995069513,0.0
43.0,126.32439990079469,18.215844939748862,0.0,0.996373843,0.08508328,0.0,0.0,0.0,-1.0,-0.08508328,0.996373843,0.0
44.0,129.35515954680588,18.474650381262933,0.0,0.997576197,0.069582551,0.0,0.0,0.0,-1.0,-0.069582551,0.997576197,0.0
45.0,132.38957651903507,18.68630586555116,0.0,0.998607884,0.052747453,0.0,0.0,0.0,-1.0,-0.052747453,0.998607884,0.0
46.0,135.4271316448228,18.84675252278402,0.0,0.999397367,0.034711706,0.0,0.0,0.0,-1.0,-0.034711706,0.999397367,0.0
47.0,138.46708823313077,18.952338231245623,0.0,0.999877234,0.015668989,0.0,0.0,0.0,-1.0,-0.015668989,0.999877234,0.0
