Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1.0,0.0,0.0,0.0,0.992854,0.001765,0.119325,0.119326,3.1e-05,-0.992855,-0.001756,0.999998,-0.00018
2.0,0.6566918659858978,0.00842266259898616,0.07845497891598431,0.992707,0.025412,0.117847,0.117885,1.2e-05,-0.993027,-0.025236,0.999677,-0.002984
3.0,1.3130007634116565,0.035317770703271946,0.15584836104609046,0.991585,0.057167,0.11615,0.116343,-6.2e-05,-0.993209,-0.056772,0.998365,-0.006713
4.0,1.9680893206069197,0.08517379520941147,0.232087546047625,0.988927,0.09457,0.114368,0.114904,-0.00022,-0.993377,-0.093918,0.995518,-0.011084
5.0,2.6207319058930376,0.16167226117048758,0.3071077136807025,0.984084,0.137602,0.112447,0.11359,-0.000455,-0.993528,-0.13666,0.990487,-0.016078
6.0,3.269369526357665,0.2677320636744009,0.38081229501651415,0.976753,0.183758,0.110396,0.112448,-0.00075,-0.993657,-0.18251,0.982971,-0.021396
7.0,3.9121369465265494,0.4056305097203903,0.45312191833275134,0.966201,0.233958,0.10826,0.111604,-0.001061,-0.993752,-0.232381,0.972246,-0.027136
8.0,4.546847475450086,0.5773717352967492,0.5240967738521646,0.952602,0.284977,0.106473,0.111448,-0.001249,-0.99377,-0.283069,0.958533,-0.03295
9.0,5.171322359350903,0.7835761626995238,0.5939419051907183,0.93454,0.340131,0.104621,0.111727,-0.001317,-0.993738,-0.337864,0.940377,-0.039233
10.0,5.781859568814323,1.0283142384211088,0.6623854641995051,0.910868,0.399821,0.102288,0.112164,-0.00131,-0.993689,-0.397164,0.916592,-0.046039
11.0,6.375130782951532,1.3127315609868262,0.7291542798675792,0.881561,0.461477,0.099444,0.112721,-0.001214,-0.993626,-0.458415,0.887151,-0.053088
12.0,6.946216939272455,1.639790018500827,0.7937284674138192,0.843873,0.527947,0.09565,0.113282,-0.001062,-0.993562,-0.524447,0.849276,-0.060703
13.0,7.4895223313543315,2.0116042059316177,0.8554545329912172,0.796968,0.597165,0.090747,0.113784,-0.000879,-0.993505,-0.593207,0.802118,-0.068648
14.0,7.997793045209171,2.430497069018764,0.91343160755157,0.738628,0.668813,0.084369,0.114141,-0.000732,-0.993464,-0.66438,0.74343,-0.07688
15.0,8.464085377997005,2.8961881610101083,0.9667376562540587,0.669589,0.738772,0.076597,0.114354,-0.000644,-0.99344,-0.733876,0.673955,-0.084912
16.0,8.881261827589226,3.4068578851717266,1.0144777629296537,0.590149,0.804464,0.067544,0.114483,-0.000574,-0.993425,-0.799135,0.594002,-0.092436
17.0,9.242969349046048,3.9587010288499376,1.0558463045969217,0.501806,0.86308,0.057305,0.114486,-0.000605,-0.993425,-0.85737,0.505068,-0.099114
18.0,9.543611574513692,4.546492948423774,1.0901090928245076,0.405644,0.912863,0.046186,0.114475,-0.000607,-0.993426,-0.906834,0.408265,-0.104746
19.0,9.778211235572385,5.163979813606334,1.1168732375869843,0.30236,0.952564,0.034648,0.114595,-0.00024,-0.993412,-0.94628,0.304339,-0.109232
20.0,9.941774528026876,5.804213291540513,1.135839110632636,0.191769,0.981176,0.022775,0.114786,0.000624,-0.99339,-0.974704,0.193116,-0.112506
21.0,10.030691361374162,6.459158979635621,1.1470086962545205,0.074989,0.997125,0.010902,0.114966,0.002215,-0.993367,-0.990535,0.075745,-0.11447
22.0,10.039633908754269,7.120084665575666,1.1501610764922126,-0.050419,0.998727,-0.001677,0.114961,0.004136,-0.993361,-0.99209,-0.050277,-0.115023
23.0,9.961884676735812,7.7763843029671555,1.1444886440712212,-0.186102,0.982404,-0.015747,0.114734,0.005811,-0.993379,-0.975809,-0.186677,-0.113796
24.0,9.791652175314336,8.414683756601082,1.1288669662588404,-0.330449,0.943282,-0.031987,0.114548,0.006442,-0.993397,-0.936847,-0.331931,-0.11018
25.0,9.523890347244071,9.01807023531551,1.1017701216936868,-0.478627,0.876589,-0.050072,0.11476,0.005917,-0.993376,-0.870486,-0.481203,-0.103429
26.0,9.159546361744562,9.567721396595966,1.0625532151320025,-0.621554,0.780354,-0.068685,0.115597,0.004647,-0.993285,-0.774795,-0.62532,-0.093095
27.0,8.705081738442756,10.044273847354228,1.0106401401560303,-0.748378,0.657374,-0.088263,0.118517,0.001604,-0.992951,-0.652598,-0.753563,-0.07911
28.0,8.174406371673243,10.432259361774388,0.9457755843923447,-0.850608,0.514603,-0.107934,0.128098,0.003726,-0.991755,-0.509957,-0.857421,-0.069089
29.0,7.586094567318285,10.722419228449134,0.8675044832997086,-0.923046,0.36229,-0.12935,0.152757,0.036593,-0.987586,-0.353059,-0.931347,-0.08912
30.0,6.9598761512507545,10.911196932788025,0.7739146398015034,-0.96559,0.209293,-0.154376,0.178779,0.103079,-0.978475,-0.188875,-0.972405,-0.13695
31.0,6.314696492154707,11.0,0.6621334589811749,-0.980755,0.060668,-0.185578,0.19406,0.198442,-0.960709,-0.021458,-0.978233,-0.206396
32.0,5.667879791286044,10.993863243003505,0.5267180249814079,-0.971398,-0.07592,-0.224992,0.190861,0.314069,-0.930018,0.14127,-0.94636,-0.290595
33.0,5.034283112198906,10.90186149538249,0.3626222805564295,-0.9415,-0.198159,-0.272601,0.16333,0.439239,-0.883398,0.29479,-0.876243,-0.381178
34.0,4.42594979089159,10.735372032098887,0.1648325785804103,-0.89528,-0.302814,-0.326768,0.109234,0.561882,-0.819973,0.431905,-0.7698,-0.469964
35.0,3.8533641704500523,10.50383413522825,-0.07066199864731344,-0.833927,-0.394648,-0.38577,0.027007,0.668997,-0.742774,0.551213,-0.629838,-0.547236
36.0,3.325810758091346,10.216216809391454,-0.3461374352639423,-0.758984,-0.472273,-0.448221,-0.07877,0.749939,-0.6568,0.646327,-0.463195,-0.606392
37.0,2.850931066380736,9.883698900244658,-0.6637797607880602,-0.676047,-0.52879,-0.513168,-0.197441,0.800957,-0.56523,0.709914,-0.280802,-0.645889
38.0,2.433348498142702,9.521303490527828,-1.0260938144895244,-0.586706,-0.563101,-0.581974,-0.320364,0.821431,-0.471824,0.743736,-0.090378,-0.662336
39.0,2.0741087758186594,9.142737415252649,-1.431932674980975,-0.500332,-0.578948,-0.643807,-0.443331,0.810002,-0.383867,0.743724,0.093359,-0.661935
40.0,1.7714604300696646,8.758520073349093,-1.876772815521838,-0.415032,-0.578715,-0.702024,-0.559212,0.770918,-0.304905,0.717656,0.266035,-0.643579
41.0,1.523919871119565,8.382479341705366,-2.360945613052752,-0.335339,-0.554494,-0.761633,-0.659,0.7158,-0.230974,0.67325,0.424461,-0.605447
42.0,1.325682380343521,8.028593242051043,-2.883068015312489,-0.266162,-0.513077,-0.816033,-0.742147,0.649308,-0.166187,0.615123,0.561383,-0.5536
43.0,1.1697923491432183,7.706292457858426,-3.438941919621941,-0.206987,-0.459535,-0.863703,-0.808783,0.577105,-0.113225,0.550478,0.675113,-0.491118
44.0,1.0503584114302977,7.422809075891874,-4.024227677063882,-0.155275,-0.39615,-0.904961,-0.859805,0.505282,-0.073662,0.486442,0.766652,-0.41907
45.0,0.9636653091696947,7.184784525015562,-4.634950748643706,-0.107464,-0.320738,-0.941052,-0.896817,0.439844,-0.047499,0.429151,0.838847,-0.33491
46.0,0.9071354456794366,7.001931919747012,-5.267768261990182,-0.06529,-0.229857,-0.971032,-0.921384,0.387511,-0.029777,0.38313,0.892749,-0.237087
47.0,0.8748298318377777,6.881896741237603,-5.917109645059279,-0.033058,-0.13248,-0.990634,-0.935513,0.35293,-0.015979,0.351742,0.926223,-0.135604
48.0,0.8640359390348207,6.828119753649416,-6.57592801177203,0.001144,-0.028615,-0.99959,-0.940997,0.338244,-0.01076,0.338414,0.940623,-0.02654
49.0,0.8748298318377777,6.881896741237603,-7.234746378484781,-0.033058,-0.13248,-0.990634,-0.935513,0.35293,-0.015979,0.351742,0.926223,0.135604
50.0,0.9071354456794366,7.001931919747012,-7.884087761553878,-0.06529,-0.229857,-0.971032,-0.921384,0.387511,-0.029777,0.38313,0.892749,0.237087
51.0,0.9636653091696947,7.184784525015562,-8.516905274900353,-0.107464,-0.320738,-0.941052,-0.896817,0.439844,-0.047499,0.429151,0.838847,0.33491
52.0,1.0503584114302977,7.422809075891874,-9.127628346480176,-0.155275,-0.39615,-0.904961,-0.859805,0.505282,-0.073662,0.486442,0.766652,0.41907
53.0,1.1697923491432183,7.706292457858426,-9.712914103922119,-0.206987,-0.459535,-0.863703,-0.808783,0.577105,-0.113225,0.550478,0.675113,0.491118
54.0,1.325682380343521,8.028593242051043,-10.268788008231569,-0.266162,-0.513077,-0.816033,-0.742147,0.649308,-0.166187,0.615123,0.561383,0.5536
55.0,1.523919871119565,8.382479341705366,-10.790910410491307,-0.335339,-0.554494,-0.761633,-0.659,0.7158,-0.230974,0.67325,0.424461,0.605447
56.0,1.7714604300696646,8.758520073349093,-11.275083208022222,-0.415032,-0.578715,-0.702024,-0.559212,0.770918,-0.304905,0.717656,0.266035,0.643579
57.0,2.0741087758186594,9.142737415252649,-11.719923348563086,-0.500332,-0.578948,-0.643807,-0.443331,0.810002,-0.383867,0.743724,0.093359,0.661935
58.0,2.433348498142702,9.521303490527828,-12.125762209054534,-0.586706,-0.563101,-0.581974,-0.320364,0.821431,-0.471824,0.743736,-0.090378,0.662336
59.0,2.850931066380736,9.883698900244658,-12.488076262756,-0.676047,-0.52879,-0.513168,-0.197441,0.800957,-0.56523,0.709914,-0.280802,0.645889
60.0,3.325810758091346,10.216216809391454,-12.805718588280117,-0.758984,-0.472273,-0.448221,-0.07877,0.749939,-0.6568,0.646327,-0.463195,0.606392
61.0,3.8533641704500523,10.50383413522825,-13.081194024896746,-0.833927,-0.394648,-0.38577,0.027007,0.668997,-0.742774,0.551213,-0.629838,0.547236
62.0,4.42594979089159,10.735372032098887,-13.316688602124469,-0.89528,-0.302814,-0.326768,0.109234,0.561882,-0.819973,0.431905,-0.7698,0.469964
63.0,5.034283112198906,10.90186149538249,-13.514478304100487,-0.9415,-0.198159,-0.272601,0.16333,0.439239,-0.883398,0.29479,-0.876243,0.381178
64.0,5.667879791286044,10.993863243003505,-13.678574048525467,-0.971398,-0.07592,-0.224992,0.190861,0.314069,-0.930018,0.14127,-0.94636,0.290595
65.0,6.314696492154707,11.0,-13.813989482525233,-0.980755,0.060668,-0.185578,0.19406,0.198442,-0.960709,-0.021458,-0.978233,0.206396
66.0,6.9598761512507545,10.911196932788025,-13.925770663345563,-0.96559,0.209293,-0.154376,0.178779,0.103079,-0.978475,-0.188875,-0.972405,0.13695
67.0,7.586094567318285,10.722419228449134,-14.01936050684377,-0.923046,0.36229,-0.12935,0.152757,0.036593,-0.987586,-0.353059,-0.931347,0.08912
68.0,8.174406371673243,10.432259361774388,-14.097631607936405,-0.850608,0.514603,-0.107934,0.128098,0.003726,-0.991755,-0.509957,-0.857421,0.069089
69.0,8.705081738442756,10.044273847354228,-14.162496163700089,-0.748378,0.657374,-0.088263,0.118517,0.001604,-0.992951,-0.652598,-0.753563,0.07911
70.0,9.159546361744562,9.567721396595966,-14.21440923867606,-0.621554,0.780354,-0.068685,0.115597,0.004647,-0.993285,-0.774795,-0.62532,0.093095
71.0,9.523890347244071,9.01807023531551,-14.253626145237746,-0.478627,0.876589,-0.050072,0.11476,0.005917,-0.993376,-0.870486,-0.481203,0.103429
72.0,9.791652175314336,8.414683756601082,-14.2807229898029,-0.330449,0.943282,-0.031987,0.114548,0.006442,-0.993397,-0.936847,-0.331931,0.11018
73.0,9.961884676735812,7.7763843029671555,-14.29634466761528,-0.186102,0.982404,-0.015747,0.114734,0.005811,-0.993379,-0.975809,-0.186677,0.113796
74.0,10.039633908754269,7.120084665575666,-14.30201710003627,-0.050419,0.998727,-0.001677,0.114961,0.004136,-0.993361,-0.99209,-0.050277,0.115023
75.0,10.030691361374162,6.459158979635621,-14.29886471979858,0.074989,0.997125,0.010902,0.114966,0.002215,-0.993367,-0.990535,0.075745,0.11447
76.0,9.941774528026876,5.804213291540513,-14.287695134176696,0.191769,0.981176,0.022775,0.114786,0.000624,-0.99339,-0.974704,0.193116,0.112506
77.0,9.778211235572385,5.163979813606334,-14.268729261131043,0.30236,0.952564,0.034648,0.114595,-0.00024,-0.993412,-0.94628,0.304339,0.109232
