Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1,0.0,0.0,0.0,0.992854,0.001765,0.119325,0.119326,3.1e-05,-0.992855,-0.001756,0.999998,-0.00018
2,0.992835,0.012734,0.118614,0.992707,0.025412,0.117847,0.117885,1.2e-05,-0.993027,-0.025236,0.999677,-0.002984
3,1.985091,0.053396,0.235623,0.991585,0.057167,0.11615,0.116343,-6.2e-05,-0.993209,-0.056772,0.998365,-0.006713
4,2.975502,0.128772,0.350887,0.988927,0.09457,0.114368,0.114904,-0.00022,-0.993377,-0.093918,0.995518,-0.011084
5,3.962215,0.244428,0.464308,0.984084,0.137602,0.112447,0.11359,-0.000455,-0.993528,-0.13666,0.990487,-0.016078
6,4.942873,0.404777,0.57574,0.976753,0.183758,0.110396,0.112448,-0.00075,-0.993657,-0.18251,0.982971,-0.021396
7,5.914656,0.613262,0.685063,0.966201,0.233958,0.10826,0.111604,-0.001061,-0.993752,-0.232381,0.972246,-0.027136
8,6.874258,0.872913,0.792368,0.952602,0.284977,0.106473,0.111448,-0.001249,-0.99377,-0.283069,0.958533,-0.03295
9,7.818385,1.184668,0.897965,0.93454,0.340131,0.104621,0.111727,-0.001317,-0.993738,-0.337864,0.940377,-0.039233
10,8.74144,1.554681,1.001443,0.910868,0.399821,0.102288,0.112164,-0.00131,-0.993689,-0.397164,0.916592,-0.046039
11,9.638391,1.984684,1.102389,0.881561,0.461477,0.099444,0.112721,-0.001214,-0.993626,-0.458415,0.887151,-0.053088
12,10.501801,2.479155,1.200017,0.843873,0.527947,0.09565,0.113282,-0.001062,-0.993562,-0.524447,0.849276,-0.060703
13,11.32321,3.041291,1.293339,0.796968,0.597165,0.090747,0.113784,-0.000879,-0.993505,-0.593207,0.802118,-0.068648
14,12.091651,3.674604,1.380993,0.738628,0.668813,0.084369,0.114141,-0.000732,-0.993464,-0.66438,0.74343,-0.07688
15,12.796626,4.37867,1.461585,0.669589,0.738772,0.076597,0.114354,-0.000644,-0.99344,-0.733876,0.673955,-0.084912
16,13.427344,5.150738,1.533762,0.590149,0.804464,0.067544,0.114483,-0.000574,-0.993425,-0.799135,0.594002,-0.092436
17,13.9742,5.985055,1.596306,0.501806,0.86308,0.057305,0.114486,-0.000605,-0.993425,-0.85737,0.505068,-0.099114
18,14.428733,6.873722,1.648107,0.405644,0.912863,0.046186,0.114475,-0.000607,-0.993426,-0.906834,0.408265,-0.104746
19,14.783418,7.807284,1.688571,0.30236,0.952564,0.034648,0.114595,-0.00024,-0.993412,-0.94628,0.304339,-0.109232
20,15.030705,8.775236,1.717245,0.191769,0.981176,0.022775,0.114786,0.000624,-0.99339,-0.974704,0.193116,-0.112506
21,15.165136,9.765431,1.734132,0.074989,0.997125,0.010902,0.114966,0.002215,-0.993367,-0.990535,0.075745,-0.11447
22,15.178656,10.764667,1.738898,-0.050419,0.998727,-0.001677,0.114961,0.004136,-0.993361,-0.99209,-0.050277,-0.115023
23,15.061109,11.756909,1.730322,-0.186102,0.982404,-0.015747,0.114734,0.005811,-0.993379,-0.975809,-0.186677,-0.113796
24,14.803739,12.721937,1.706704,-0.330449,0.943282,-0.031987,0.114548,0.006442,-0.993397,-0.936847,-0.331931,-0.11018
25,14.398917,13.634181,1.665737,-0.478627,0.876589,-0.050072,0.11476,0.005917,-0.993376,-0.870486,-0.481203,-0.103429
26,13.848075,14.465184,1.606446,-0.621554,0.780354,-0.068685,0.115597,0.004647,-0.993285,-0.774795,-0.62532,-0.093095
27,13.160982,15.185671,1.52796,-0.748378,0.657374,-0.088263,0.118517,0.001604,-0.992951,-0.652598,-0.753563,-0.07911
28,12.358668,15.772256,1.429893,-0.850608,0.514603,-0.107934,0.128098,0.003726,-0.991755,-0.509957,-0.857421,-0.069089
29,11.469215,16.210941,1.311557,-0.923046,0.36229,-0.12935,0.152757,0.036593,-0.987586,-0.353059,-0.931347,-0.08912
30,10.522452,16.496349,1.170061,-0.96559,0.209293,-0.154376,0.178779,0.103079,-0.978475,-0.188875,-0.972405,-0.13695
31,9.547022,16.630608,1.001062,-0.980755,0.060668,-0.185578,0.19406,0.198442,-0.960709,-0.021458,-0.978233,-0.206396
32,8.569117,16.62133,0.796331,-0.971398,-0.07592,-0.224992,0.190861,0.314069,-0.930018,0.14127,-0.94636,-0.290595
33,7.611199,16.482235,0.548239,-0.9415,-0.198159,-0.272601,0.16333,0.439239,-0.883398,0.29479,-0.876243,-0.381178
34,6.691476,16.230524,0.249206,-0.89528,-0.302814,-0.326768,0.109234,0.561882,-0.819973,0.431905,-0.7698,-0.469964
35,5.825799,15.880468,-0.106832,-0.833927,-0.394648,-0.38577,0.027007,0.668997,-0.742774,0.551213,-0.629838,-0.547236
36,5.028205,15.445627,-0.523316,-0.758984,-0.472273,-0.448221,-0.07877,0.749939,-0.6568,0.646327,-0.463195,-0.606392
37,4.310247,14.942902,-1.003551,-0.676047,-0.52879,-0.513168,-0.197441,0.800957,-0.56523,0.709914,-0.280802,-0.645889
38,3.678915,14.395006,-1.551324,-0.586706,-0.563101,-0.581974,-0.320364,0.821431,-0.471824,0.743736,-0.090378,-0.662336
39,3.13579,13.822662,-2.164901,-0.500332,-0.578948,-0.643807,-0.443331,0.810002,-0.383867,0.743724,0.093359,-0.661935
40,2.678224,13.241774,-2.837443,-0.415032,-0.578715,-0.702024,-0.559212,0.770918,-0.304905,0.717656,0.266035,-0.643579
41,2.303974,12.673248,-3.569451,-0.335339,-0.554494,-0.761633,-0.659,0.7158,-0.230974,0.67325,0.424461,-0.605447
42,2.004264,12.138217,-4.358834,-0.266162,-0.513077,-0.816033,-0.742147,0.649308,-0.166187,0.615123,0.561383,-0.5536
43,1.768578,11.650939,-5.199245,-0.206987,-0.459535,-0.863703,-0.808783,0.577105,-0.113225,0.550478,0.675113,-0.491118
44,1.588009,11.222348,-6.084123,-0.155275,-0.39615,-0.904961,-0.859805,0.505282,-0.073662,0.486442,0.766652,-0.41907
45,1.45694,10.862485,-7.007459,-0.107464,-0.320738,-0.941052,-0.896817,0.439844,-0.047499,0.429151,0.838847,-0.33491
46,1.371474,10.586035,-7.964199,-0.06529,-0.229857,-0.971032,-0.921384,0.387511,-0.029777,0.38313,0.892749,-0.237087
47,1.322632,10.404557,-8.945921,-0.033058,-0.13248,-0.990634,-0.935513,0.35293,-0.015979,0.351742,0.926223,-0.135604
48,1.306313,10.323253,-9.941971,0.001144,-0.028615,-0.99959,-0.940997,0.338244,-0.01076,0.338414,0.940623,-0.02654
49,1.322632,10.404557,-10.938021,-0.033058,-0.13248,-0.990634,-0.935513,0.35293,-0.015979,0.351742,0.926223,0.135604
50,1.371474,10.586035,-11.919743,-0.06529,-0.229857,-0.971032,-0.921384,0.387511,-0.029777,0.38313,0.892749,0.237087
51,1.45694,10.862485,-12.876483,-0.107464,-0.320738,-0.941052,-0.896817,0.439844,-0.047499,0.429151,0.838847,0.33491
52,1.588009,11.222348,-13.799819,-0.155275,-0.39615,-0.904961,-0.859805,0.505282,-0.073662,0.486442,0.766652,0.41907
53,1.768578,11.650939,-14.684697,-0.206987,-0.459535,-0.863703,-0.808783,0.577105,-0.113225,0.550478,0.675113,0.491118
54,2.004264,12.138217,-15.525108,-0.266162,-0.513077,-0.816033,-0.742147,0.649308,-0.166187,0.615123,0.561383,0.5536
55,2.303974,12.673248,-16.314491,-0.335339,-0.554494,-0.761633,-0.659,0.7158,-0.230974,0.67325,0.424461,0.605447
56,2.678224,13.241774,-17.046499,-0.415032,-0.578715,-0.702024,-0.559212,0.770918,-0.304905,0.717656,0.266035,0.643579
57,3.13579,13.822662,-17.719041,-0.500332,-0.578948,-0.643807,-0.443331,0.810002,-0.383867,0.743724,0.093359,0.661935
58,3.678915,14.395006,-18.332618,-0.586706,-0.563101,-0.581974,-0.320364,0.821431,-0.471824,0.743736,-0.090378,0.662336
59,4.310247,14.942902,-18.880391,-0.676047,-0.52879,-0.513168,-0.197441,0.800957,-0.56523,0.709914,-0.280802,0.645889
60,5.028205,15.445627,-19.360626,-0.758984,-0.472273,-0.448221,-0.07877,0.749939,-0.6568,0.646327,-0.463195,0.606392
61,5.825799,15.880468,-19.77711,-0.833927,-0.394648,-0.38577,0.027007,0.668997,-0.742774,0.551213,-0.629838,0.547236
62,6.691476,16.230524,-20.133148,-0.89528,-0.302814,-0.326768,0.109234,0.561882,-0.819973,0.431905,-0.7698,0.469964
63,7.611199,16.482235,-20.432181,-0.9415,-0.198159,-0.272601,0.16333,0.439239,-0.883398,0.29479,-0.876243,0.381178
64,8.569117,16.62133,-20.680273,-0.971398,-0.07592,-0.224992,0.190861,0.314069,-0.930018,0.14127,-0.94636,0.290595
65,9.547022,16.630608,-20.885004,-0.980755,0.060668,-0.185578,0.19406,0.198442,-0.960709,-0.021458,-0.978233,0.206396
66,10.522452,16.496349,-21.054003,-0.96559,0.209293,-0.154376,0.178779,0.103079,-0.978475,-0.188875,-0.972405,0.13695
67,11.469215,16.210941,-21.195499,-0.923046,0.36229,-0.12935,0.152757,0.036593,-0.987586,-0.353059,-0.931347,0.08912
68,12.358668,15.772256,-21.313835,-0.850608,0.514603,-0.107934,0.128098,0.003726,-0.991755,-0.509957,-0.857421,0.069089
69,13.160982,15.185671,-21.411902,-0.748378,0.657374,-0.088263,0.118517,0.001604,-0.992951,-0.652598,-0.753563,0.07911
70,13.848075,14.465184,-21.490388,-0.621554,0.780354,-0.068685,0.115597,0.004647,-0.993285,-0.774795,-0.62532,0.093095
71,14.398917,13.634181,-21.549679,-0.478627,0.876589,-0.050072,0.11476,0.005917,-0.993376,-0.870486,-0.481203,0.103429
72,14.803739,12.721937,-21.590646,-0.330449,0.943282,-0.031987,0.114548,0.006442,-0.993397,-0.936847,-0.331931,0.11018
73,15.061109,11.756909,-21.614264,-0.186102,0.982404,-0.015747,0.114734,0.005811,-0.993379,-0.975809,-0.186677,0.113796
74,15.178656,10.764667,-21.62284,-0.050419,0.998727,-0.001677,0.114961,0.004136,-0.993361,-0.99209,-0.050277,0.115023
75,15.165136,9.765431,-21.618074,0.074989,0.997125,0.010902,0.114966,0.002215,-0.993367,-0.990535,0.075745,0.11447
76,15.030705,8.775236,-21.601187,0.191769,0.981176,0.022775,0.114786,0.000624,-0.99339,-0.974704,0.193116,0.112506
77,14.783418,7.807284,-21.572513,0.30236,0.952564,0.034648,0.114595,-0.00024,-0.993412,-0.94628,0.304339,0.109232
78,14.428733,6.873722,-21.532049,0.405644,0.912863,0.046186,0.114475,-0.000607,-0.993426,-0.906834,0.408265,0.104746
79,13.9742,5.985055,-21.480248,0.501806,0.86308,0.057305,0.114486,-0.000605,-0.993425,-0.85737,0.505068,0.099114
80,13.427344,5.150738,-21.417704,0.590149,0.804464,0.067544,0.114483,-0.000574,-0.993425,-0.799135,0.594002,0.092436
81,12.796626,4.37867,-21.345527,0.669589,0.738772,0.076597,0.114354,-0.000644,-0.99344,-0.733876,0.673955,0.084912
82,12.091651,3.674604,-21.264935,0.738628,0.668813,0.084369,0.114141,-0.000732,-0.993464,-0.66438,0.74343,0.07688
83,11.32321,3.041291,-21.177281,0.796968,0.597165,0.090747,0.113784,-0.000879,-0.993505,-0.593207,0.802118,0.068648
84,10.501801,2.479155,-21.083959,0.843873,0.527947,0.09565,0.113282,-0.001062,-0.993562,-0.524447,0.849276,0.060703
85,9.638391,1.984684,-20.986331,0.881561,0.461477,0.099444,0.112721,-0.001214,-0.993626,-0.458415,0.887151,0.053088
86,8.74144,1.554681,-20.885385,0.910868,0.399821,0.102288,0.112164,-0.00131,-0.993689,-0.397164,0.916592,0.046039
87,7.818385,1.184668,-20.781907,0.93454,0.340131,0.104621,0.111727,-0.001317,-0.993738,-0.337864,0.940377,0.039233
88,6.874258,0.872913,-20.67631,0.952602,0.284977,0.106473,0.111448,-0.001249,-0.99377,-0.283069,0.958533,0.03295
89,5.914656,0.613262,-20.569005,0.966201,0.233958,0.10826,0.111604,-0.001061,-0.993752,-0.232381,0.972246,0.027136
90,4.942873,0.404777,-20.459682,0.976753,0.183758,0.110396,0.112448,-0.00075,-0.993657,-0.18251,0.982971,0.021396
91,3.962215,0.244428,-20.34825,0.984084,0.137602,0.112447,0.11359,-0.000455,-0.993528,-0.13666,0.990487,0.016078
92,2.975502,0.128772,-20.234829,0.988927,0.09457,0.114368,0.114904,-0.00022,-0.993377,-0.093918,0.995518,0.011084
93,1.985091,0.053396,-20.119565,0.991585,0.057167,0.11615,0.116343,-6.2e-05,-0.993209,-0.056772,0.998365,0.006713
94,0.992835,0.012734,-20.002556,0.992707,0.025412,0.117847,0.117885,1.2e-05,-0.993027,-0.025236,0.999677,0.002984
