Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1.0,0.0,0.0,0.0,0.999946072,-0.010385214,0.0,0.0,0.0,-1.0,0.010385214,0.999946072,0.0
2.0,0.6441871347600813,-0.0066903820494534465,0.0,0.999968245,-0.00796929,0.0,0.0,0.0,-1.0,0.00796929,0.999968245,0.0
3.0,1.2883885538518272,-0.011824373006489945,0.0,0.999986866,-0.005125277,0.0,0.0,0.0,-1.0,0.005125277,0.999986866,0.0
4.0,1.9326019689991325,-0.015126188572281523,0.0,0.999996166,-0.002769182,0.0,0.0,0.0,-1.0,0.002769182,0.999996166,0.0
5.0,2.5768213747656663,-0.016910155552074865,0.0,0.999997507,-0.002233149,0.0,0.0,0.0,-1.0,0.002233149,0.999997507,0.0
6.0,3.2210416450779578,-0.018348798991040582,0.0,0.999993815,-0.00351722,0.0,0.0,0.0,-1.0,0.00351722,0.999993815,0.0
7.0,3.86525953627886,-0.02061466905900246,0.0,0.999978951,-0.006488297,0.0,0.0,0.0,-1.0,0.006488297,0.999978951,0.0
8.0,4.5094678524100145,-0.024794572570928618,0.0,0.99994159,-0.010808192,0.0,0.0,0.0,-1.0,0.010808192,0.99994159,0.0
9.0,5.153652099767646,-0.031757446301199976,0.0,0.999881847,-0.015371802,0.0,0.0,0.0,-1.0,0.015371802,0.999881847,0.0
10.0,5.7977978593777175,-0.04166029742863486,0.0,0.999995104,-0.003129201,0.0,0.0,0.0,-1.0,0.003129201,0.999995104,0.0
11.0,6.4420165816248405,-0.04367619716835441,0.0,0.999397057,0.03472062,0.0,0.0,0.0,-1.0,-0.03472062,0.999397057,0.0
12.0,7.085850030199917,-0.021308413559439236,0.0,0.996572408,0.08272506,0.0,0.0,0.0,-1.0,-0.08272506,0.996572408,0.0
13.0,7.727863778096163,0.0319848798155417,0.0,0.991138081,0.132835629,0.0,0.0,0.0,-1.0,-0.132835629,0.991138081,0.0
14.0,8.366376611723064,0.11756049797704107,0.0,0.983246484,0.182280967,0.0,0.0,0.0,-1.0,-0.182280967,0.983246484,0.0
15.0,8.999805503990501,0.2349898845620278,0.0,0.973065524,0.230528711,0.0,0.0,0.0,-1.0,-0.230528711,0.973065524,0.0
16.0,9.626675605545838,0.3835015239609292,0.0,0.960603128,0.277923786,0.0,0.0,0.0,-1.0,-0.277923786,0.960603128,0.0
17.0,10.24551714994704,0.5625461062179881,0.0,0.945650719,0.325184129,0.0,0.0,0.0,-1.0,-0.325184129,0.945650719,0.0
18.0,10.854726031164192,0.7720368366082463,0.0,0.927732254,0.373246386,0.0,0.0,0.0,-1.0,-0.373246386,0.927732254,0.0
19.0,11.45239144845871,1.0124903230965738,0.0,0.906004397,0.423268276,0.0,0.0,0.0,-1.0,-0.423268276,0.906004397,0.0
20.0,12.036059296572578,1.285169006063868,0.0,0.88548619,0.464665693,0.0,0.0,0.0,-1.0,-0.464665693,0.88548619,0.0
21.0,12.606508871382973,1.5845168106872536,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
22.0,13.175868281049754,1.8859329566437595,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
23.0,13.74522734283672,2.187349750687473,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
24.0,14.314586746061284,2.4887658966439794,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
25.0,14.883945807848251,2.790182690687692,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
26.0,15.453305217515034,3.091598836644198,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
27.0,16.022664279302003,3.3930156306879127,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
28.0,16.592023682526566,3.694431776644418,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
29.0,17.161382744313535,3.995848570688132,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
30.0,17.730742153980316,4.297264716644637,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
31.0,18.300101215767285,4.598681510688352,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
32.0,18.869460618991848,4.900097656644857,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
33.0,19.438819687221034,5.20151445068857,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
34.0,20.008179090445598,5.5029305966450766,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
35.0,20.577538152232567,5.80434739068879,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
36.0,21.14689755545713,6.105763536645296,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
37.0,21.71625696512391,6.40717968195758,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
38.0,22.28561602691088,6.7085964760012935,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
39.0,22.854975430135443,7.010012623890465,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
40.0,23.424334498364626,7.311429416001513,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
41.0,23.993693901589193,7.6128455638906845,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
42.0,24.563052963376162,7.914262356001733,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
43.0,25.132412373042943,8.215678503890905,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
44.0,25.70177143482991,8.517095296001953,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
45.0,26.271130838054475,8.818511443891124,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
46.0,26.840489899841444,9.119928236002172,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
47.0,27.409849309508225,9.421344383891343,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
48.0,27.979208371295194,9.722761176002392,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
49.0,28.548567774519757,10.024177323891564,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
50.0,29.117926836306726,10.325594116002613,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
51.0,29.687286245973507,10.627010263891783,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
52.0,30.256645307760476,10.92842705600283,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
53.0,30.82600471098504,11.229843203892003,0.0,0.883793431,0.467877304,0.0,0.0,0.0,-1.0,-0.467877304,0.883793431,0.0
54.0,31.395363772772004,11.531259996003051,0.0,0.883793964,0.467876296,0.0,0.0,0.0,-1.0,-0.467876296,0.883793964,0.0
